planet_mass,planet_radius,orbital_period,orbital_radius,star_mass,star_radius,star_luminosity
8.590133999999999,1.9454399999999998,0.7365478,0.015439,1.015,0.98,3.3107540650424556
4.51276,1.5791999999999997,3.53796,0.0436,0.91,1.0,2.582872804653366
36.8648,5.11952,8.46303507,0.08305,0.5,0.75,1.5080206049452207
32.09780000000001,3.136,18.859014,0.1417,0.5,0.75,1.3390359239107972
146.18800000000002,11.536,3.4878,0.046,0.99,1.71,2.8930158073392462
22.246000000000002,2.576,41.6855,0.241,1.67,1.08,6.2329510556137215
873.95,10.863999999999999,13.2406,0.1055,0.89,0.79,2.8553441179534604
740.474,16.016,2.994325,0.04351,1.27,1.36,4.406841467726476
291.42260000000005,16.128,2.8280517,0.04016,1.078,1.116,3.665052535026952
415.68240000000003,9.911999999999999,4.0350906,0.051,1.09,1.01,3.5631069440218344
2415.28,12.208,1.51214,0.027,1.13,1.21,3.112028115195002
170.02300000000002,13.104,5.35227,0.0618,1.098,1.19,3.392606047893739
772.2540000000001,11.424,3.768125,0.0461,1.04,1.59,3.6445989920440307
1102.766,14.671999999999999,1.90009057,0.0295,0.95,1.0,2.7780180526263023
352.75800000000004,14.447999999999999,3.8971372,0.0518,1.21,1.65,4.248533491974112
327.334,16.688,1.50896848,0.0254,0.95,1.11,3.2195291724057786
1347.4720000000002,9.408,9.2431839,0.0902,1.14,0.92,3.765747407955997
718.228,14.559999999999999,2.72474,0.0417,1.29,1.945,4.394418390833883
19.068,4.87648,9.75598,0.092,1.099,1.136,3.404265135425604
889.84,12.096,3.6314,0.0477,1.14,1.61,3.4285337519138444
5.7204,3.6959999999999997,5.1134,0.056,0.91,0.86,2.7858721275762237
27.9664,4.928,11.759,0.098,0.91,0.86,2.687188422179423
85.80600000000001,12.096,4.86069,0.0578,1.09,1.19,3.381080342632623
165.256,14.111999999999998,4.20474,0.0526,1.09,1.79,3.6156309713557118
3301.9420000000005,11.278399999999998,3.57532,0.0476,1.05,1.08,3.3845531372524658
153.8152,10.696,5.20851,0.059,1.01,1.78,3.0578628065071545
270.13,10.08,2.85057,0.039,0.976,0.9,3.174859474109249
1051.9180000000001,16.408,1.7429964,0.0281,0.97,0.902,3.1791591519726765
921.62,11.300799999999999,9.06005,0.0844,0.98,0.91,2.6002783952053927
266.952,16.352,4.62941,0.0586,1.25,2.15,4.217182315035861
47.67,6.3839999999999995,6.71837,0.071,1.09,0.79,3.5566458918166304
349.58000000000004,18.816,3.22748,0.0429,1.01,1.65,2.9733745843556125
216.104,15.791999999999998,5.616531,0.066,1.32,1.52,4.7232314110827085
6883.548000000001,13.328,4.2567994,0.057,1.41,1.44,4.976741453837892
228.816,13.328,9.20166201,0.09,1.1,1.15,3.5816324002608564
148.41260000000003,14.895999999999999,4.0379148,0.04947,1.0,1.186,2.8855890993675923
940.688,13.059199999999999,8.886593,0.0855,1.055,1.025,3.1440271745779826
13.287853600000002,1.5232,0.8535,0.0172,0.93,0.87,2.7807253717561715
68.58124,6.37504,6.21229,0.063,0.88,0.77,2.717384684564195
266.952,10.527999999999999,95.273804,0.407,0.99,0.94,3.030940698768272
14.39634,5.695199999999999,8.138268,0.0795,0.959,0.872,3.4291574719688476
123.40174,17.483199999999997,11.310099,0.104,1.168,1.313,4.24399833577054
266.952,12.488,20.273034,0.1367,0.95,0.88,2.704348961713759
27.013,5.7568,19.49221,0.1493,1.17,1.39,3.860637656606283
9.238446,2.5872,13.603,0.098,0.69,0.67,1.9508742744374994
9.629340000000001,2.6879999999999997,65.55,0.28,0.69,0.67,2.202850086425395
11440.800000000001,9.4752,5.292569,0.0593,0.99,1.01,3.1200568313852663
82.628,8.6688,12.4551225,0.1016,0.901,0.822,2.739645218247997
953.4000000000001,11.771199999999999,6.180235,0.07229,1.324,1.624,4.467768780871473
36.8648,2.6084799999999997,4.6,0.05,1.088,1.117,3.7406174305096305
533.904,13.764800000000001,3.042524,0.04047,0.93,0.962,2.7582020992137806
245.6594,14.8624,3.6915237,0.0467,1.0,1.064,2.923779451941391
2.6790540000000003,1.5187199999999998,7.397225,0.0559,0.427,0.428,1.0706013383290152
22.690920000000002,2.6084799999999997,35.61253,0.1932,0.76,0.73,2.021604308329918
3.699192,0.8912959999999999,7.78993,0.0695,0.76,0.73,2.18993567098806
3.340078,2.1279999999999997,2.8531054,0.03165,0.519,0.516,1.34583571324501
12.578524,4.186643209284032,3.336649,0.03557,0.51,0.48,1.504334527882248
1.8591300000000002,1.263024,1.1980035,0.01589,0.36,0.364,1.150129324252373
2.0866748,1.166032,3.93086,0.033,0.342,0.337,1.0890768816930505
8.777636,2.94784,50.817,0.24,0.65,0.68,1.751502519735804
56.266490000000005,8.77296,748.3,1.43,0.65,0.68,1.6310062813349007
22.246000000000002,4.255999999999999,2.64394,0.02887,0.452,0.464,1.3058840870591195
4.868696,1.527792,1.2089765,0.01866,0.659,0.651,1.8591137234773245
1.919512,1.1984,3.648086,0.03896,0.659,0.651,2.0748766451081306
3.419528,1.953392,6.20183,0.0555,0.659,0.651,2.073942934695862
146.18800000000002,11.703999999999999,3.722469,0.0439,0.82,0.81,2.6214831676299837
23.39008,4.3568,4.887802443,0.053,0.809,0.683,2.393622129724574
66.8936853033162,10.628799999999998,3.2130598,0.0384,0.73,0.7,2.229592637087387
270.13,14.335999999999999,2.916243,0.0426,1.22,1.56,4.023639587919627
776.7032,11.312,4.627686,0.0606,1.386,1.468,5.127734776598255
618.4388,12.0064,10.863502,0.0964,1.013,1.08,3.3976974648516474
1332.5354,14.436799999999998,2.77596,0.0413,1.218,1.237,4.066893931072585
169.70520000000002,11.312,10.338523,0.0882,0.857,0.837,2.6303187586404118
58.1574,10.606399999999999,5.508029,0.0559,0.77,0.717,2.7476296129552984
92.7976,12.678399999999998,4.008784,0.0466,0.842,0.82,2.2479282329257058
166.845,14.772799999999998,4.46529976,0.05561,1.151,1.174,3.9020292221214197
2302.7788,9.7104,2.875317,0.0361,0.756,0.694,2.018201212258986
1291.2214,11.4688,4.124461,0.0494,0.947,1.105,2.795456614572311
682.3166,12.096,3.21222,0.0414,0.916,1.04,2.5950380493367486
664.202,15.3216,1.212884,0.0232,1.13,1.29,3.4542812861673458
217.693,13.9104,3.35524,0.0465,1.191,1.317,4.203644587123414
180.1926,13.328,3.652836,0.0466,1.01,0.959,3.231652431633535
18.5913,6.3839999999999995,4.234502,0.0479,0.816,0.788,2.0304118071775386
209.74800000000002,11.815999999999999,3.0395803,0.0403,0.945,0.898,2.728837736559251
198.9428,13.574399999999999,3.257215,0.0434,1.025,1.103,3.219885874457505
247.2484,12.398399999999999,5.723186,0.0667,1.207,1.224,3.9956653045819928
2777.572,10.6512,5.6334729,0.0674,1.34,1.54,4.482466305708405
225.9558,15.008,2.81057534,0.0419,1.18,1.33,4.126997128598816
689.9438,11.984,5.005425,0.055,1.218,1.36,3.9712129030841012
238.35000000000002,20.0368,2.15000825,0.03427,1.176,1.387,3.6761935953670952
242.4814,20.4624,3.474474,0.0503,1.403,1.777,4.800253952192334
1057.6384,12.398399999999999,5.452654,0.0677,1.36,1.45,4.922631135918467
334.9612,14.9184,3.646706,0.0498,1.236,1.435,4.46668608386369
582.2096,14.156799999999999,1.327347,0.0238,1.022,1.096,2.8545256680020294
371.50820000000004,13.193599999999998,2.797436,0.0379,0.929,0.877,2.4838354113053986
84.85260000000001,9.239999999999998,4.640382,0.0523,0.886,0.923,2.9651000498932283
190.3622,17.5952,3.54387,0.0509,1.404,1.625,4.941855464440512
187.8198,9.2624,2.899703,0.03866,0.917,0.799,3.1560077667596618
195.447,19.375999999999998,4.457243,0.0608,1.512,2.206,6.14649093370718
254.24,18.872,2.694047,0.0426,1.28,1.19,4.607154844125978
309.855,14.302399999999999,4.641876,0.0575,1.179,1.528,3.8161033828595508
209.74800000000002,14.369599999999998,3.332688,0.0443,1.048,1.104,3.008483793019836
124.5776,14.335999999999999,4.301217,0.0507,0.939,0.979,2.8822986279062293
283.4776,15.971199999999998,3.128992,0.0452,1.259,1.319,4.074585056351394
156.6754,14.380799999999999,4.463129,0.0577,1.284,1.396,4.554496891977882
65.46679999999999,14.705599999999999,4.732182,0.0615,1.387,1.515,4.5558081860440405
53.39040000000001,12.6672,4.40865,0.0543,1.099,1.223,3.578860701719371
549.794,15.8256,2.691548,0.0438,1.543,1.833,5.790384097234168
216.104,14.223999999999998,3.0565114,0.0446,1.26,1.59,4.236093164908347
432.208,14.4256,3.1220109,0.0453,1.273,1.698,4.908319071147685
98.20020000000001,14.481599999999998,4.2180278,0.05069,0.976,1.041,3.0983154140071423
260.27819999999997,11.300799999999999,2.7535953,0.03694,0.887,0.893,2.8800773766357874
472.56860000000006,14.7616,1.9616241,0.03159,1.093,1.209,3.5005222632569217
241.52800000000002,10.572799999999999,3.799847,0.04117,0.645,0.617,1.6668620980218471
184.9596,13.238399999999999,3.5852467,0.04604,1.013,1.011,3.385002975749426
734.118,16.912,2.79083,0.0423,1.42,1.47,5.434826295500301
587.9300000000001,15.8256,2.465295,0.0406,1.47,1.5,5.7215007775441435
118.22160000000001,14.9184,4.013837,0.04994,1.031,1.53,3.4449728993025617
489.41200000000003,12.577599999999999,4.1419771,0.05064,1.0,1.1,3.0902446400755084
336.86800000000005,14.0224,2.788491,0.04079,1.163,1.137,4.050073978757934
182.41719999999998,18.2672,4.7947813,0.06277,1.435,2.197,4.989581457384065
335.9146,10.0688,1.90231289,0.0301,1.004,0.938,3.2263034214496065
241.84580000000003,12.017599999999998,2.6453235,0.03772,1.023,1.17,3.212463322216947
195.1292,12.5328,3.377728,0.04294,0.925,0.9661,2.8249336764565296
184.32399999999998,19.0736,4.007232,0.05387,1.298,1.735,4.806107915188529
248.83740000000003,17.808,2.972086,0.04363,1.255,1.881,4.259339262838575
230.0872,12.0064,2.29840551,0.02996,0.6785,0.67,2.0676530970857945
335.9146,14.895999999999999,3.853003,0.05235,1.29,1.46,4.213853889213139
553.2898,16.0272,2.204735471,0.0379,1.51,2.0,5.485489898361165
425.85200000000003,16.799999999999997,3.0763402,0.0449,1.28,1.58,4.201367285463074
212.92600000000002,15.679999999999998,3.922814,0.053,1.28,1.32,4.522329068685799
167.1628,10.852799999999998,3.312846,0.0449,1.1,1.105,3.6393860077572198
270.13,18.020799999999998,3.619188,0.0507,1.33,1.54,4.561502395926373
756.364,7.750399999999999,3.142702,0.0441,1.16,1.17,4.004281103387369
172.5654,13.574399999999999,3.0440499,0.04057,0.962,0.887,2.9806523598878303
340.36379999999997,11.6368,2.7667641,0.03815,0.967,0.933,2.721097309444977
689.626,12.376,1.74748753,0.02712,0.871,0.922,2.5672969259522205
1039.2060000000001,14.559999999999999,2.686502,0.03744,0.97,1.238,3.171303362450727
425.2164,8.702399999999999,16.254611,0.1308,1.131,1.091,4.058174008078069
629.244,14.9744,0.8378434,0.01761,1.037,1.02,3.0199043308407294
135.7006,18.592,4.569673,0.0589,1.303,1.74,4.064059934793372
589.519,14.5824,3.446459,0.0444,0.986,1.038,3.3171401932837368
86.75940000000001,8.6912,3.7992969,0.04619,0.91,0.892,3.1218848941396753
105.5096,12.577599999999999,3.5543973,0.04676,1.08,1.021,3.768842882587429
870.772,10.673599999999999,4.7228124,0.05025,0.759,0.689,2.193144842958462
467.166,20.832,2.1605156,0.03397,1.121,1.199,3.533622721960576
775.432,16.6544,1.3484954,0.02547,1.212,1.172,3.7596848694503406
194.8114,14.111999999999998,4.2986432,0.05163,0.994,1.107,2.903014234070058
206.57000000000002,19.599999999999998,3.3023881,0.04735,1.299,2.04,4.0648948282210915
168.43400000000003,16.799999999999997,4.637038,0.0611,1.415,1.74,5.0941786335737715
213.56160000000003,13.372799999999998,3.1810781,0.04131,0.929,0.922,3.2986060019620576
207.5234,14.011199999999997,4.6058749,0.05475,1.032,1.073,3.248137684879419
427.44100000000003,13.081599999999998,1.354133,0.023,0.882,0.898,2.8627295243951068
224.36679999999998,13.16,3.1743516,0.04354,1.093,1.061,3.078700598535801
279.664,18.368,3.37796,0.0478,1.275,1.87,4.086034443986556
292.37600000000003,13.988800000000001,2.8126548,0.04024,1.099,1.097,3.5584916200378243
378.81759999999997,13.776,2.5495551,0.03727,1.062,1.022,3.39265321941125
299.0498,16.016,2.1061607,0.03166,0.955,0.98,3.2041817839473925
388.3516,16.3968,1.8209933,0.03199,1.317,1.433,4.5739365941583
886.662,12.913599999999999,4.175186,0.0523,1.1,1.1,3.949149114197674
31.462200000000003,6.7871999999999995,4.3315366,0.04913,0.843,0.877,2.4628675043071304
23.5172,6.876799999999999,4.375021,0.05036,0.89,1.105,2.7858219784296043
200.214,17.584,4.5776348,0.06,1.379,1.621,5.3050117649981186
340.36379999999997,15.467199999999998,3.547851,0.0485,1.209,1.404,4.251614888523984
505.302,17.695999999999998,3.2642736,0.04997,1.56,2.26,5.710686488010153
3082.66,14.895999999999999,4.193649,0.0583,1.496,1.71,5.737335027456085
597.4639999999999,15.679999999999998,2.292102,0.03689,1.273,1.48,5.121716298737412
82.9458,13.216,4.3888497,0.04944,0.837,0.812,2.6653245392651232
177.96800000000002,11.950399999999998,2.7439004,0.03649,0.86,0.847,2.3320798436600083
222.46,14.4032,4.1876244,0.05511,1.272,1.315,4.2760574764585355
54.9794,10.1136,4.7423729,0.05367,0.917,0.853,2.7010954048095965
117.26820000000001,12.510399999999999,3.9228038,0.04269,0.674,0.6564,1.7547072830156887
77.22540000000001,8.959999999999999,3.1316666,0.03769,0.7279,0.7152,2.0125086317681067
112.18339999999999,8.568,4.1480467,0.04515,0.7133,0.6977,2.1573010538638377
420.4494,11.424,2.516729,0.0362,1.001,0.925,3.1608089640540533
123.94200000000001,12.655999999999999,3.8297015,0.05046,1.168,1.117,3.539567703534324
244.0704,15.791999999999998,3.3488702,0.04639,1.187,1.44,3.809035329896796
711.8720000000001,15.478399999999997,1.3665436,0.02498,1.111,1.046,3.9033876719341523
189.091,15.008,3.8537768,0.04753,0.964,1.1,3.1379004292053705
239.3034,11.367999999999999,2.5441765,0.037,1.05,1.23,3.458866998625974
191.3156,18.9056,4.324799,0.06043,1.573,2.201,6.081124751687021
1000.1166,12.655999999999999,2.350621,0.03493,1.026,0.96,3.090589054993951
327.334,12.264,4.2180896,0.05798,1.461,1.433,5.055511600398023
256.14680000000004,12.611199999999998,5.416081,0.06112,1.038,1.036,3.030938255364408
75.3186,10.2144,4.763387,0.0542,0.936,0.871,3.0395359771326254
210.38360000000003,12.913599999999999,3.560829,0.04708,1.1,1.46,3.6583707355585786
1080.52,13.384,7.817953,0.07908,1.075,1.667,3.113647328450776
56.8862,11.815999999999999,3.2768837,0.04163,0.911,0.923,2.5807394437412046
305.088,13.5184,3.0566527,0.04026,0.931,1.07,2.6824962932543954
305.088,18.8048,4.908897,0.06562,1.562,2.113,6.067457816057787
